id,clientId,date,startTime,endTime,appointmentType,details
1202,2891,2020-10-23,14:45,15:30,"Adult Cut + Beard Grooming",""
1203,1691,2021-06-09,12:00,12:45,"Adult Haircut + Beard (18 & Up)",""
1204,2866,2024-07-11,09:00,09:30,"Lineup + Taper + Beard Grooming",""
1205,2894,2019-01-20,12:45,13:45,"Haircut + Beard (Adults)",""
1206,2895,2017-06-18,12:30,13:30,"Haircut + Beard (Adults)",""
1207,2896,2017-10-21,18:00,18:45,"UziExpress Clean Up + Beard Grooming",""
1208,2897,2024-04-24,14:00,14:30,"Adult Cut",""
1209,2898,2021-03-03,17:00,17:45,"Adult Cut + Beard Grooming",""
1210,2899,2020-12-23,20:00,21:00,"OFF DAY/EMERGENCY - (Full Service)",""
1211,2900,2017-06-11,15:30,16:30,"Haircut + Beard (Adults)",""
1212,2901,2017-06-03,11:10,11:30,"UziCleanUp with Beard Grooming",""
1213,1698,2019-01-13,13:30,14:30,"Haircut + Beard (Adults)",""
1214,2905,2020-12-31,15:30,16:00,"Adult Haircut (18 & Up)",""
1215,2906,2022-05-18,16:15,16:45,"Kids Cut - (12 & Under)",""
1216,2907,2020-06-07,13:00,14:00,"Haircut + Beard (Adults)",""
1217,2908,2017-09-24,11:50,13:05,"Haircut + Beard (Adults) + Beard Grooming",""
1218,2909,2017-10-28,11:00,12:00,"Haircut + Beard (Adults)",""
1219,2910,2023-03-15,15:30,16:15,"Adult Cut + Beard Grooming",""
1220,2911,2022-02-04,16:30,17:00,"Adult Cut",""
1221,2912,2022-08-16,11:30,12:00,"Adult Cut",""
1222,2912,2020-10-02,11:30,12:00,"Adult Cut",""
1223,2901,2022-09-28,12:30,13:15,"Adult Cut + Beard Grooming",""
1224,2915,2017-07-16,10:30,11:30,"Haircut + Beard (Adults)",""
1225,2915,2017-07-16,11:00,12:00,"Haircut + Beard (Adults)",""
1226,2917,2022-03-17,15:30,16:00,"Kids Cut - (12 & Under)",""
1227,2918,2020-09-17,17:15,18:00,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores, Wax - Hair Removal ($5+)",""
1228,2919,2021-09-02,15:45,16:30,"Adult Cut + Beard Grooming",""
1229,2920,2022-04-22,15:45,16:30,"Adult Cut + Beard Grooming",""
1230,2921,2022-06-23,15:30,16:15,"Adult Cut + Beard Grooming",""
1231,2922,2021-11-13,16:00,17:00,"Adult - (Full Service)",""
1232,2923,2024-02-27,16:00,17:00,"Adult - (Full Service)",""
1233,2924,2022-02-04,16:30,17:00,"Adult Cut",""
1234,2925,2020-08-22,10:45,11:30,"Adult Cut + Beard Grooming",""
1235,2922,2023-10-04,16:00,16:45,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores, Wax - Hair Removal ($5+)",""
1236,2927,2020-12-03,17:30,18:00,"Adult Cut",""
1237,2928,2024-04-17,11:30,12:00,"Lineup + Taper",""
1238,2929,2022-06-18,16:00,17:00,"Adult - (Full Service)",""
1239,2930,2021-02-09,17:30,18:00,"Adult Haircut (18 & Up)",""
1240,2931,2021-06-11,12:45,13:15,"Adult Haircut (18 & Up)",""
1241,2932,2024-07-05,11:00,11:30,"Adult Cut",""
1242,2697,2020-07-30,11:00,11:30,"Adult Cut + Hot Towel + Black Mask Treatment for Clogged Pores, Shampoo &amp; Hair Wash",""
1243,2725,2023-03-23,14:30,15:00,"Adult Cut",""
1244,2988,2023-01-28,12:00,12:45,"High-School Cut + Beard Grooming",""
1245,2935,2020-06-06,14:00,15:00,"Haircut + Beard (Adults)",""
1246,2936,2020-05-08,18:00,19:00,"Haircut + Beard (Adults)",""
1247,2936,2020-12-18,19:15,20:00,"Haircut + Beard",""
1248,2938,2021-03-18,18:45,19:30,"Haircut + Beard",""
1249,1888,2017-06-08,20:30,21:30,"Haircut + Beard (Adults)",""
1250,2940,2017-03-23,21:10,21:50,"UziCut with Beard Grooming",""
1251,2900,2017-12-02,11:00,12:00,"Haircut + Beard (Adults)",""
1252,2942,2021-01-19,10:30,11:00,"Adult Haircut (18 & Up)",""
1253,2943,2020-10-30,18:30,19:15,"Haircut + Beard",""
1254,2944,2017-09-30,18:50,19:50,"Haircut + Beard (Adults)",""
1255,2945,2020-09-22,15:00,15:30,"Adult Cut",""
1256,1719,2018-10-12,20:15,21:15,"Haircut + Beard (Adults)",""
1257,2947,2017-04-18,20:30,21:10,"UziCut with Beard Grooming",""
1258,1952,2021-11-27,12:30,13:00,"Kids Cut - (12 & Under)",""
1259,2949,2017-06-04,10:30,11:10,"UziCut with Beard Grooming",""
1260,2950,2020-12-04,12:00,12:30,"Adult Cut",""
1261,2951,2022-01-08,15:30,16:00,"Adult Cut",""
1262,2952,2021-05-15,11:30,12:00,"Adult Haircut (18 & Up)",""
1263,2022,2020-12-30,11:15,12:00,"Adult Haircut (18 & Up) + Beard Grooming",""
1264,2955,2022-08-18,10:30,11:00,"High-School Cut",""
1265,2956,2021-01-30,12:00,12:45,"Adult Haircut (18 & Up) + Beard Grooming",""
1266,2957,2023-03-28,14:00,14:30,"Kids Cut - (12 & Under)",""
1267,2951,2020-09-30,17:00,17:30,"Adult Cut",""
1268,2956,2021-01-30,12:45,13:30,"Student Haircut (17 & Under)",""
1269,2960,2023-10-21,12:30,13:00,"High-School Cut",""
1270,2956,2021-03-18,14:30,15:15,"Adult Cut + Beard Grooming",""
1271,2956,2021-01-30,11:30,12:15,"Student Haircut (17 & Under)",""
1272,2989,2021-02-27,16:00,16:45,"Haircut + Beard",""
1273,2989,2021-11-24,13:00,13:45,"Adult Cut + Beard Grooming",""
1274,2963,2021-11-30,15:00,15:30,"Adult Cut",""
1275,2964,2022-01-04,15:00,15:30,"High-School Cut",""
1276,2965,2020-12-03,15:00,15:45,"Adult Cut + Beard Grooming",""
1277,2966,2021-08-14,11:30,12:00,"High-School Cut",""
1278,2967,2022-07-14,18:30,19:15,"Adult Cut + Beard Grooming",""
1279,2969,2020-12-01,11:30,12:00,"High-School Cut",""
1280,2971,2017-08-06,10:00,11:00,"Haircut + Beard (Adults)",""
1281,2972,2020-09-17,12:15,12:45,"Adult Cut",""
1282,2973,2018-11-15,20:15,21:15,"Haircut + Beard (Adults)",""
1283,2973,2018-11-25,17:15,18:15,"Haircut + Beard (Adults)",""
1284,2975,2024-04-24,15:00,15:30,"High-School Cut",""
1285,2976,2021-01-15,17:15,18:00,"Adult Haircut (18 & Up) + Beard Grooming",""
1286,2977,2023-01-04,14:30,15:00,"Adult Cut",""
1287,2978,2024-01-23,09:30,10:15,"Adult Cut + Beard Grooming",""
1288,2979,2020-11-25,14:45,15:15,"Adult Cut",""
1289,2980,2017-11-04,15:00,16:00,"Haircut + Beard (Adults)",""
1290,2980,2017-11-05,14:00,15:00,"Haircut + Beard (Adults)",""
1291,2901,2021-06-01,16:45,17:30,"Adult Haircut + Beard (18 & Up)",""
1292,2901,2020-12-09,16:30,17:15,"Adult Cut + Beard Grooming",""
1293,2982,2021-01-28,14:45,15:15,"Adult Haircut (18 & Up)",""
1294,2983,2021-12-18,12:00,12:30,"Adult Cut",""
1295,2984,2021-02-20,16:45,17:30,"Haircut + Beard",""
1296,2985,2022-07-20,13:15,13:45,"Adult Cut",""
1297,2987,2020-11-20,14:45,15:15,"Beard Grooming Only",""
1298,2991,2017-05-23,20:00,20:40,"UziCut with Beard Grooming",""
1299,2992,2019-02-20,20:00,21:00,"Haircut + Beard (Adults)",""
1300,2993,2019-04-28,10:30,11:30,"Haircut + Beard (Adults)",""
1301,2994,2019-04-02,20:00,21:00,"Haircut + Beard (Adults)",""
1302,2995,2021-01-21,16:00,16:45,"Adult Haircut (18 & Up) + Beard Grooming",""
1303,2996,2023-12-05,09:30,10:00,"Adult Cut",""
1304,3223,2020-08-18,11:15,11:45,"High-School Cut",""
1305,2997,2020-10-22,13:00,13:30,"Adult Cut",""
1306,2997,2021-02-04,14:45,15:15,"Adult Haircut (18 & Up)",""
1307,2999,2020-10-23,17:30,18:00,"Adult Cut",""
1308,3000,2020-09-15,10:30,11:00,"Adult Cut",""
1309,3004,2021-08-12,15:30,16:00,"Adult Cut",""
1310,3005,2021-06-22,10:30,11:00,"Adult Haircut (18 & Up)",""
1311,1717,2021-11-19,12:30,13:15,"Adult Cut + Beard Grooming",""
1312,3007,2024-07-03,14:30,15:15,"Adult Cut + Beard Grooming",""
1313,3008,2023-02-17,15:45,16:15,"Adult Cut",""
1314,3009,2021-07-13,11:30,12:00,"Adult Cut",""
1315,2995,2021-06-03,16:45,17:15,"Adult Haircut (18 & Up)",""
1316,3011,2022-08-04,12:30,13:00,"Adult Cut",""
1317,3012,2020-07-03,15:30,16:00,"High-School Cut",""
1318,3224,2020-07-14,16:30,17:00,"High-School Cut",""
1319,2026,2023-05-12,15:00,15:30,"Adult Cut + Wax - Hair Removal ($5+)",""
1320,3013,2022-02-26,10:00,10:30,"High-School Cut",""
1321,3014,2020-12-17,11:45,12:15,"High-School Cut",""
1322,3016,2020-11-04,15:45,16:15,"High-School Cut",""
1323,3017,2021-12-30,15:30,16:00,"Adult Cut",""
1324,3018,2021-07-14,15:45,16:15,"Adult Cut",""
1325,3019,2021-07-09,10:30,11:00,"Adult Haircut (18 & Up)",""
1326,3020,2022-04-07,12:00,12:45,"Adult Cut + Beard Grooming",""
1327,1889,2021-11-04,11:45,12:30,"Adult Cut + Beard Grooming",""
1328,3023,2021-05-05,10:30,11:15,"Student Haircut (17 & Under)",""
1329,3024,2017-08-06,15:30,16:30,"Haircut + Beard (Adults)",""
1330,3026,2020-09-25,10:45,11:15,"High-School Cut",""
1331,3027,2020-09-29,15:00,15:30,"Adult Cut",""
1332,3028,2020-01-29,09:00,10:00,"Haircut + Beard (Adults)",""
1333,2697,2020-08-11,10:30,11:00,"Adult Cut + Shampoo &amp; Hair Wash",""
1334,2697,2021-07-28,11:00,11:30,"Adult Cut + Hot Towel + Black Mask Treatment for Clogged Pores, Shampoo &amp; Hair Wash",""
1335,3031,2024-07-06,09:30,10:00,"Adult Cut",""
1336,3032,2021-04-13,19:15,20:00,"High-School - (Full Service)",""
1337,3033,2022-08-05,18:30,19:30,"OFF DAY/EMERGENCY - (Full Service)",""
1338,3034,2020-12-02,17:00,17:30,"Kids Cut - (12 & Under)",""
1339,3035,2023-08-23,12:00,12:30,"Adult Cut",""
1340,3036,2021-08-25,13:30,14:00,"Beard Grooming Only",""
1341,2104,2020-10-31,14:45,15:15,"Adult Cut",""
1342,3038,2021-01-29,15:15,16:00,"Adult Haircut (18 & Up) + Beard Grooming",""
1343,2104,2021-04-29,16:45,17:30,"Adult Haircut (18 & Up) + Beard Grooming",""
1344,3040,2021-06-24,14:30,15:15,"Adult Haircut + Beard (18 & Up)",""
1345,3041,2023-09-30,17:00,18:00,"Adult - (Full Service)",""
1346,3042,2022-08-02,10:30,11:00,"Adult Cut",""
1347,3042,2022-05-04,15:00,15:30,"Adult Cut",""
1348,3042,2020-07-14,16:00,16:30,"Adult Cut + Shampoo &amp; Hair Wash",""
1349,3045,2023-04-19,13:15,13:45,"Hair Cut",""
1350,3046,2020-07-04,15:30,16:00,"High-School Cut + Wax - Hair Removal ($5+)",""
1351,3047,2017-08-06,11:00,12:15,"Haircut + Beard (Adults) + Beard Grooming",""
1352,3048,2023-01-31,12:30,13:15,"Adult Cut + Beard Grooming",""
1353,3049,2023-09-28,19:00,20:00,"Adult - (Full Service)",""
1354,3226,2021-06-11,15:15,16:00,"Student Haircut (17 & Under)",""
1355,3050,2022-06-08,15:30,16:00,"Adult Cut",""
1356,3051,2023-05-06,11:30,12:00,"Adult Cut",""
1357,3052,2021-06-12,15:15,15:45,"Adult Haircut (18 & Up)",""
1358,3053,2024-07-13,15:00,16:00,"Adult - (Full Service)",""
1359,3053,2024-01-27,15:15,15:45,"Kids Cut - (12 & Under)",""
